Column1	Column2	Column3
brother (n)	/?br?ð.?/	"anh, em trai"
brown (n)	/bra?n/	(màu s?c) nâu
brush (n)	/br??/	"cái l??c, bàn ch?i"
build (v)	/b?ld/	xây d?ng
burn (v)	/b??n/	"??t cháy, thiêu, th?p l?a"
business (n)	/?b?z.n?s/	"ho?t ??ng buôn bán, kinh doanh"
bus (n)	/b?s/	xe buýt
busy (adj)	/?b?z.i/	b?n r?n
but (conj)	/b?t/	"nh?ng, nh?ng mà"
buy (v)	/ba?/	mua
by (prep)	/ba?/	"g?n, c?nh, k? bên"
cake (n)	/ke?k/	bánh kem
"call (n, v)"	/k??l/	cu?c g?i; kêu g?i
can (modal verb)	/kæn/	"có th?, có kh? n?ng"
candle (n)	/?kæn.d?l/	n?n
cap (n)	/kæp/	m? l??i trai
car (n)	/k??r/	xe ô tô
card (n)	/k??rd/	"t?m th?, thi?p"
care (n)	/ker/	"s? quan tâm, b?o v?"
careful (adj)	/?ker.f?l/	c?n th?n
careless (adj)	/?ker.l?s/	"l? ??nh, c?u th?, b?t c?n"
carry (v)	/?ker.i/	"mang, vác, ?em theo"
case (n)	/ke?s/	"tr??ng h?p, tình hu?ng"
cat (n)	/kæt/	con mèo
catch (v)	/kæt?/	"b?t l?y, n?m l?y"
central (adj)	/?sen.tr?l/	"? gi?a, trung tâm"
century (n)	/?sen.t??r.i/	th? k?
certain (adj)	/?s??.t?n/	"ch?c ch?n, ch?c n?ch"
chair (n)	/t?er/	cái gh?
chance (n)	/t?æns/	c? h?i
"change (n, v)"	/t?e?nd?/	s? thay ??i; thay ??i
chase (v)	/t?e?s/	theo ?u?i
cheap (adj)	/t?i?p/	r?
cheese (n)	/t?i?z/	phó mát
chicken (n)	/?t??k.?n/	con gà
child (n)	/t?a?ld/	"??a tr?, con"
children (n)	/?t??l.dr?n/	"nh?ng ??a tr?, nh?ng ??a con"
chocolate (n)	/?t???k.l?t/	sô cô la
choice (n)	/t???s/	l?a ch?n
choose (v)	/t?u?z/	"ch?n, l?a"
circle (n)	/?s??.k?l/	"vòng tròn, ???ng tròn"
city (n)	/?s?t?.i/	thành ph?
class (n)	/klæs/	l?p h?c
clever (adj)	/?klev.?/	"thông minh, nhanh trí"
clean (adj)	/kli?n/	s?ch s?
clear (adj)	/kl?r/	"rõ ràng, minh b?ch"
climb (v)	/kla?m/	leo trèo
clock (n)	/kl??k/	??ng h?
cloth (n)	/kl???/	mi?ng v?i
clothes (n)	/klo?ðz/	qu?n áo
cloud (n)	/kla?d/	?ám mây
cloudy (adj)	/?kla?.di/	"u ám, có mây mù"
close (v)	/klo?z/	"?óng, k?t thúc"
coffee (n)	/?k??.fi/	cà phê
coat (n)	/ko?t/	"áo choàng ngoài, áo khoác"
coin (n)	/k??n/	??ng xu
cold (adj)	/ko?ld/	l?nh l?o
collect (v)	/k??lekt/	s?u t?m
colour (n)	/?k?l.?/	màu s?c
comb (n)	/ko?m/	cái l??c ch?i ??u
comfortable (adj)	/?k?m.f?.t??.b?l/	"tho?i mái, d? ch?u"
common (adj)	/?k??.m?n/	ph? bi?n
compare (v)	/k?m?per/	"so sánh, ??i chi?u"
come (v)	/k?m/	"??n, ti?n ??n, ?i cùng"
complete (v)	/k?m?pli?t/	"hoàn thành, làm xong"
computer (n)	/k?m?pju?.t??/	máy vi tính
condition (n)	/k?n?d??.?n/	"?i?u ki?n, tr?ng thái"
continue (v)	/k?n?t?n.ju?/	"ti?p t?c, duy trì"
control (v)	/k?n?tro?l/	ki?m soát
cook (v)	/k?k/	"n?u ?n, ch? bi?n"
cool (adj)	/ku?l/	mát m?
copper (n)	/?k??.p?/	kim lo?i ??ng
corn (n)	/k??rn/	"ngô, b?p"
corner (n)	/?k??r.n?/	góc
correct (adj)	/k??rekt/	"chính xác, ?úng"
cost (n)	/k??st/	"giá c?, chi phí"
contain (v)	/k?n?te?n/	"ch?a, ??ng"
count (v)	/ka?nt/	"??m, tính, tính ??n"
country (n)	/?k?n.tri/	"??t n??c, qu?c gia"
course (n)	/k??rs/	khóa h?c
cover (v)	/?k?v.?/	"che, ??y"
crash (v)	/kræ?/	?âm vào nhau
cross (v)	/kr??s/	"?i qua, v??t qua"
cry (v)	/kra?/	khóc lóc
cup (n)	/k?p/	"c?c, chén ??ng n??c"
cupboard (n)	/?k?b.?d/	t? ??ng
"cut (n, v)"	/k?t/	"mi?ng c?t; c?t, xén"
dance (v)	/dæns/	nh?y nhót
dangerous (adj)	/?de?n.d??.?s/	nguy hi?m
dark (adj)	/d??rk/	"t?i t?m, ?en t?i"
daughter (n)	/?d??.t??/	(quan h? v?i cha m?) con gái
day (n)	/de?/	ngày
dead (adj)	/ded/	"ch?t, h?ng, không ho?t ??ng"
decide (v)	/d??sa?d/	??a ra quy?t ??nh
decrease (v)	/?di?.kri?s/	"gi?m b?t, làm gi?m ?i"
deep (adj)	/di?p/	"sâu, sâu xa"
deer (n)	/d?r/	con h??u
depend (v)	/d??pend/	"ph? thu?c, tùy thu?c vào"
desk (n)	/desk/	cái bàn làm vi?c
destroy (v)	/d??str??/	"tàn phá, phá h?y"
develop (v)	/d??vel.?p/	phát tri?n
die (v)	/da?/	"ch?t, m?t, hy sinh"
different (adj)	/?d?f.?.?nt/	khác bi?t
difficult (adj)	/?d?f.?.k?lt/	"khó kh?n, gây khó"
dinner (n)	/?d?n.?/	b?a t?i
direction (n)	/d??rek.??n/	"ph??ng, h??ng"
dirty (adj)	/?d??.t?i/	d? b?n
discover (v)	/d??sk?v.?/	"phát hi?n, khám phá ra"
dish (n)	/d??/	cái ??a
do (v)	/du/	"làm, th?c hi?n"
dog (n)	/d???/	con chó
door (n)	/d??r/	cánh c?a
double (adj)	/?d?b.?l/	g?p ?ôi
down (adv)	/da?n/	"xu?ng, phía d??i"
draw (v)	/dr??/	v?
dream (n)	/dri?m/	"gi?c m?, m?ng"
dress (n)	/dres/	cái váy
drink (n)	/dr??k/	"?? u?ng, th?c u?ng"
drive (v)	/dra?v/	lái xe
drop (v)	/dr??p/	"r?i, r?t"
dry (adj)	/dra?/	khô ráo
duck (n)	/d?k/	con v?t
dust (n)	/d?st/	b?i
duty (n)	/?du?.t?i/	"ngh?a v?, b?n ph?n"
each (pron)	/i?t?/	"m?i ng??i, m?i cái"
ear (n)	/?r/	cái tai
early (adj)	/???.li/	"s?m, ban ??u"
earn (v)	/??n/	"ki?m ti?n, giành ???c (ph?n th??ng)"
earth (n)	/???/	trái ??t
east (n)	/i?st/	phía ?ông
easy (adj)	/?i?.zi/	d? dàng
eat (v)	/i?t/	?n
education (n)	/?ed?.??ke?.??n/	"s? giáo d?c, n?n giáo d?c"
effect (n)	/??fekt/	"s? ?nh h??ng, s? tác ??ng"
egg (n)	/e?/	qu? tr?ng
eight (n)	/e?t/	s? 8
either (adv)	/?i?.ð?/	(trong câu ph? ??nh) c?ng th?
electric (adj)	/i?lek.tr?k/	"có ?i?n, phát ?i?n"
elephant (n)	/?el.?.f?nt/	con voi
else (adv)	/els/	"khác, n?a"
empty (adj)	/?emp.ti/	"tr?ng, r?ng"
end (n)	/end/	"gi?i h?n, s? k?t thúc"
enemy (n)	/?en.?.mi/	"k? th?, k? ??ch"
enjoy (v)	/?n?d???/	t?n h??ng
enough (adj)	/??n?f/	"??, ?? dùng"
enter (v)	/?en.t??/	"?i vào, tham gia"
equal (adj)	/?i?.kw?l/	"ngang b?ng, bình ??ng"
entrance (n)	/?en.tr?ns/	"s? ?i vào, ti?n vào"
escape (v)	/??ske?p/	t?u thoát
even (adj)	/?i?.v?n/	"ngang b?ng, b?ng ph?ng"
evening (n)	/?i?v.n??/	bu?i chi?u t?i
event (n)	/??vent/	s? ki?n
ever (adv)	/?ev.?/	t? tr??c ??n gi?
every (det)	/?ev.ri/	t?t c?
everyone (pron)	/?ev.ri.w?n/	t?t c? m?i ng??i
exact (adj)	/???zækt/	"chính xác, ?úng ??n"
everybody (pron)	/?ev.ri?b??.di/	t?t c? m?i ng??i
examination (n)	/???zæm.??ne?.??n/	"s? khám xét, kì thi"
example (n)	/???zæm.p?l/	ví d?
except (prep)	/?k?sept/	ngo?i tr?
excited (adj)	/?k?sa?.t??d/	"ph?n khích, h?ng thú"
exercise (n)	/?ek.s?.sa?z/	ho?t ??ng rèn luy?n thân th?
expect (v)	/?k?spekt/	"ngóng ch?, ch? ??i"
expensive (adj)	/?k?spen.s?v/	??t ??
explain (v)	/?k?sple?n/	gi?i thích
extremely (adv)	/?k?stri?m.li/	"vô cùng, cùng c?c"
eye (n)	/a?/	con m?t
face (n)	/fe?s/	g??ng m?t
fact (n)	/fækt/	"s? th?t, th?c t?"
fail (v)	/fe?l/	"th?t b?i, tr??t (bài thi)"
fall (v)	/f??l/	"r?i, ngã"
false (adj)	/f??ls/	"sai, không ?úng, không có th?t"
family (n)	/?fæm.?l.i/	gia ?ình
famous (adj)	/?fe?.m?s/	n?i ti?ng
far (adv)	/f??r/	xa
farm (n)	/f??rm/	"trang tr?i, ??n ?i?n"
father (n)	/?f??.ð?/	"cha, b?"
fast (adj)	/fæst/	"nhanh, mau"
fat (n)	/fæt/	"béo, th?a cân"
fault (n)	/f??lt/	"l?i, sai ph?m"
fear (n)	/f?r/	n?i s?
feed (v)	/fi?d/	"cho ?n, bón, ?út cho ?n"
feel (v)	/fi?l/	"c?m giác, c?m nh?n"
female (adj)	/?fi?.me?l/	"gi?ng cái, (thu?c) ?àn bà, ph? n?"
fever (n)	/?fi?.v?/	c?n s?t
few (det)	/fju?/	"m?t vài, m?t ít"
fight (v)	/fa?t/	"?u ??, ?ánh nhau"
fill (v)	/f?l/	?? ??y
film (n)	/f?lm/	phim ?nh
find (v)	/fa?nd/	tìm th?y
fine (adj)	/fa?n/	"t?t, kh?e m?nh"
finger (n)	/?f??.??/	ngón tay
finish (v)	/?f?n.??/	"k?t thúc, hoàn thành"
fire (n)	/fa?r/	ng?n l?a
first (det)	/?f??st/	"??u tiên, tr??c tiên"
fish (n)	/f??/	con cá
fit (adj)	/f?t/	"v?a v?n, kh?p"
five (n)	/fa?v/	s? 5
fix (v)	/f?ks/	s?a ch?a
flag (n)	/flæ?/	lá c?
flat (adj)	/flæt/	"b?ng ph?ng, b?t"
float (v)	/flo?t/	trôi n?i
floor (n)	/fl??r/	t?ng (nhà)
flour (n)	/?fla?.?/	b?t
flower (n)	/?fla?.?/	bông hoa
fly (v)	/fla?/	"bay, ?i máy bay"
fold (v)	/fo?ld/	g?p n?p
food (n)	/fu?d/	"?? ?n, th?c ?n"
fool (adj)	/fu?l/	"ngu ng?c, ng?c ngh?ch"
foot (n)	/f?t/	bàn chân
football (n)	/?f?t.b??l/	môn bóng ?á
for (prep)	/f??r/	"dành cho, ?? cho"
force (n)	/f??rs/	"s?c m?nh, l?c l??ng"
foreign (adj)	/?f??r.?n/	"(thu?c) n??c ngoài, xa l?"
forest (n)	/?f??r.?st/	r?ng
forget (v)	/f???et/	lãng quên
forgive (v)	/f????v/	tha th?
fork (n)	/f??rk/	"cái d?a, n?a"
form (v)	/f??rm/	"t?o thành, c?u thành, hình thành"
fox (n)	/f??ks/	con cáo
four (n)	/f??r/	s? 4
free (adj)	/fri?/	t? do
freedom (n)	/?fri?.d?m/	s? t? do
freeze (v)	/fri?z/	làm ?ông c?ng
fresh (adj)	/fre?/	"t??i s?ch, trong lành"
friend (n)	/frend/	b?n bè
friendly (adj)	/?frend.li/	"thân thi?n, d? g?n"
from (prep)	/fr??m/	(v? trí) t?
front (n)	/fr?nt/	"phía tr??c, m?t tr??c"
fruit (n)	/fru?t/	"qu?, trái cây"
full (adj)	/f?l/	"ch?t ních, ??"
fun (n)	/f?n/	"s? vui ?ùa, vui thích"
funny (adj)	/?f?n.i/	"bu?n c??i, khôi hài"
furniture (n)	/?f??.n?.t??/	"?? ??c, ?? gia d?ng"
further (adv)	/?f??.ð?/	"xa h?n, c? th? h?n"
future (n)	/?fju?.t??/	t??ng lai
game (n)	/?e?m/	trò ch?i
garden (n)	/????r.d?n/	khu v??n
gate (n)	/?e?t/	cánh c?ng
general (adj)	/?d?en.?r.?l/	"chung chung, nói chung"
gentleman (n)	/?d?en.t??l.m?n/	"quý ông, ngài"
get (v)	/?et/	"l?y, ??t ???c, có ???c"
gift (n)	/??ft/	"món quà, quà t?ng"
give (v)	/??v/	"cho, bi?u, t?ng"
glad (adj)	/?læd/	"vui s??ng, vui m?ng"
glass (n)	/?læs/	"kính, th?y tinh"
go (v)	/?o?/	"?i, ?i ??n, ?i t?i"
goat (n)	/?o?t/	con dê
god (n)	/???d/	th?n
gold (n)	/?o?ld/	kim lo?i vàng
good (adj)	/??d/	"t?t, hay, kh?e"
goodbye (n)	/??d?ba?/	l?i t?m bi?t
grandfather (n)	/??ræn.f??.ð?/	"ông n?i, ông ngo?i"
grandmother (n)	/??ræn.m?ð.?/	"bà n?i, bà ngo?i"
grass (n)	/?ræs/	c?
grave (n)	/?re?v/	"m?, ph?n m?"
great (adj)	/?re?t/	"l?n, to l?n, v? ??i"
green (n)	/?ri?n/	"(màu s?c) xanh lam, xanh lá cây"
gray (n)	/?re?/	(màu s?c) xám
ground (n)	/?ra?nd/	"m?t ??t, ??t"
group (n)	/?ru?p/	nhóm
grow (v)	/?ro?/	"m?c lên, ?âm ch?i, l?n lên"
gun (n)	/??n/	súng
hair (n)	/her/	tóc
half (n)	/hæf/	"phân n?a, m?t n?a"
hall (n)	/h??l/	"phòng l?n, ??i s?nh, phòng ??i"
hammer (n)	/?hæm.?/	cái búa
hand (n)	/hænd/	bàn tay
happen (v)	/?hæp.?n/	"x?y ra, di?n ra"
happy (adj)	/?hæp.i/	vui v?
hard (adj)	/h??rd/	"c?ng, ch?c, r?n"
hat (n)	/hæt/	cái m?
hate (v)	/he?t/	"ghét, bài xích"
have (v)	/hæv/	"có, s? h?u"
he (pron)	/hi?/	"anh ?y, ông ?y"
head (n)	/hed/	"cái ??u, ph?n ??u"
healthy (adj)	/?hel.?i/	"m?nh kh?e, t??i t?t"
hear (v)	/h?r/	l?ng nghe
heavy (adj)	/?hev.i/	n?ng
heart (n)	/h??rt/	trái tim
heaven (n)	/?hev.?n/	thiên ???ng
height (n)	/ha?t/	chi?u cao
hello (exclamation)	/he?lo?/	xin chào
help (v)	/help/	giúp ??
hen (n)	/hen/	con gà mái
her (pron)	/h??/	"cô ?y, bà ?y, ch? ?y"
here (adv)	/h?r/	"t?i ?ây, ? ?ây"
hers (pron)	/h??z	"(s? h?u) c?a cô ?y, c?a ch? ?y"
hide (v)	/ha?d/	tr?n tránh
high (adj)	/ha?/	cao
hill (n)	/h?l/	"??i, mô ??t"
him (pron)	/h?m/	"h?n, ông ?y, anh ?y"
his (det)	/h?z/	"(s? h?u) c?a anh ?y, c?a ông ?y"
hit (v)	/h?t/	"?ánh, ??p"
hobby (n)	/?h??.bi/	"s? thích, thú vui"
hold (v)	/ho?ld/	"n?m, gi?"
hole (n)	/ho?l/	"l?, ô tr?ng"
holiday (n)	/?h??.l?.de?/	ngày ngh? l?
home (n)	/ho?m/	"nhà, ch? ?"
hope (v)	/ho?p/	"hi v?ng, kì v?ng"
horse (n)	/h??rs/	con ng?a
hospital (n)	/?h??.sp?.t??l/	b?nh vi?n
hot (adj)	/h??t/	nóng
hotel (n)	/ho??tel/	khách s?n
house (n)	/ha?s/	"c?n nhà, nhà ?"
how (adv)	/ha?/	"nh? th? nào, th? nào, ra sao"
hundred (n)	/?h?n.dr?d/	s? hàng tr?m
hungry (adj)	/?h??.?ri/	?ói
hour (n)	/a?r/	gi? ??ng h?
hurry (v)	/?h??.i/	"làm nhanh, làm v?i, thúc gi?c"
husband (n)	/?h?z.b?nd/	ch?ng
hurt (v)	/h??t/	"làm b? th??ng, làm ?au"
I (pron)	/a?/	"(??i t? nhân x?ng ngôi th? nh?t) tôi, mình"
ice (n)	/a?s/	"b?ng ?á, c?c ?á"
idea (n)	/a??di?.?/	"g?i ý, ý t??ng"
if (conj)	/?f/	"n?u, n?u nh?"
important (adj)	/?m?p??r.t?nt/	"quan tr?ng, tr?ng y?u"
in (prep)	/?n/	"? trong, bên trong"
increase (v)	/?n?kri?s/	"t?ng thêm, t?ng lên"
inside (n)	/?n?sa?d/	phía bên trong
into (prep)	/??n.tu?/	"vào, vào trong"
introduce (v)	/??n.tr??du?s/	gi?i thi?u
invent (v)	/?n?vent/	"phát minh, sáng t?o"
iron (n)	/a?rn/	kim lo?i s?t
invite (v)	/?n?va?t/	"m?i, r?"
is (v)	/?z/	"thì, là (dùng cho ngôi th? 3 s? ít)"
island (n)	/?a?.l?nd/	hòn ??o
it (pron)	/?t/	"nó, cái ?ó"
its (det)	/?ts/	"(s? h?u) c?a cái ?ó, c?a nó"
jelly (n)	/?d?el.i/	"m?t, th?ch"
job (n)	/d???b/	công vi?c
join (v)	/d???n/	"k?t n?i, tham gia"
juice (n)	/d?u?s/	n??c ép
jump (v)	/d??mp/	"nh?y, gi?t mình"
just (adv)	/d??st/	"v?a m?i, ch? là"
keep (v)	/ki?p/	"l?u gi?, k?p"
key (n)	/ki?/	chìa khóa
kill (v)	/k?l/	gi?t
kind (adj)	/ka?nd/	"t?t b?ng, thánh thi?n"
king (n)	/k??/	vua
kitchen (n)	/?k?t?.?n/	"c?n b?p, phòng b?p"
knee (n)	/ni?/	??u g?i
knife (n)	/na?f/	con dao
knock (v)	/n??k/	"??p, ?ánh, va ??ng"
know (v)	/no?/	bi?t
ladder (n)	/?læd.?/	cái thang
lady (n)	/?le?.di/	"quý bà, quý cô, phu nhân"
lamp (n)	/læmp/	cái ?èn
land (n)	/lænd/	"??t, ??t li?n"
large (adj)	/l??rd?/	"r?ng, l?n, nhi?u"
last (adj)	/læst/	"cu?i cùng, sau cùng"
late (adj)	/le?t/	"ch?m, mu?n, tr?"
lately (adv)	/?le?t.li/	"g?n ?ây, m?i ?ây"
laugh (v)	/læf/	"c??i l?n, c??i thành ti?ng"
lazy (adj)	/?le?.zi/	"l??i bi?ng, l??i nhác"
lead (v)	/li?d/	"lãnh ??o, d?n d?t, d?n ??u"
leaf (n)	/li?f/	cái lá
learn (v)	/l??n/	"h?c, nghiên c?u"
leave (v)	/li?v/	"r?i ?i, b? ?i, ?? l?i"
leg (n)	/le?/	cái chân
left (adv)	/left/	v? phía bên trái
lend (v)	/lend/	"cho vay, cho m??n"
length (n)	/le??/	"chi?u dài, ?? dài"
less (adj)	/les/	ít h?n
lesson (n)	/?les.?n/	bài h?c
let (v)	/let/	"?? cho, cho phép"
letter (n)	/?let?.?/	th? t?
library (n)	/?la?.brer.i/	th? vi?n
lie (v)	/la?/	"n?m, n?m ngh?"
life (n)	/la?f/	"cu?c ??i, ??i s?ng"
light (n)	/la?t/	"ánh sáng, ngu?n sáng"
like (v)	/la?k/	yêu thích
lion (n)	/?la?.?n/	con s? t?
lip (n)	/l?p/	môi
list (n)	/l?st/	danh sách
listen (v)	/?l?s.?n/	l?ng nghe
little (adj)	/?l?t?.?l/	"nh? bé, ít ?i"
live (v)	/l?v/	"s?ng, ? t?i"
lock (n)	/l??k/	cái khóa
lonely (adj)	/?lo?n.li/	"cô ??n, cô ??c"
long (adj)	/l???/	(kích th??c) dài
long (adj)	/l???/	(th?i gian) lâu
look (v)	/l?k/	"nhìn, ng?m"
lose (v)	/lu?z/	?ánh m?t
lot (n)	/l??t/	"m?, lô, hàng ??ng, r?t nhi?u"
love (v)	/l?v/	yêu
low (adj)	/lo?/	"th?p, c?n"
lower (adj)	/?lo?.?/	"th?p h?n, b?c th?p h?n"
luck (n)	/l?k/	"s? may m?n, ?i?m may"
machine (n)	/m???i?n/	"máy móc, b? máy"
main (adj)	/me?n/	"chính, ch? y?u"
make (v)	/me?k/	"làm, t?o ra"
male (adj)	/me?l/	"gi?ng ??c, (thu?c) ?àn ông"
man (n)	/mæn/	ng??i ?àn ông
many (det)	/?men.i/	"nhi?u, l?m"
map (n)	/mæp/	b?n ??
mark (n)	/m??rk/	"v?t, d?u"
market (n)	/?m??r.k?t/	"ch?, th? tr??ng"
marry (v)	/?mer.i/	"c??i, k?t hôn"
matter (n)	/?mæt?.?/	v?n ??
may (modal verb)	/me?/	có th?
me (pron)	/mi?/	"tôi, mình"
meal (n)	/m??l/	b?a ?n
mean (v)	/mi?n/	"ngh?a là, d? ??nh"
measure (v)	/?me?.?/	"?o l??ng, ?ong ??m"
meat (n)	/mi?t/	mi?ng th?t
medicine (n)	/?med.?.s?n/	thu?c
meet (v)	/mi?t/	g?p g?
member (n)	/?mem.b?/	thành viên
mention (v)	/?men.??n/	"nh?c ??n, ?? c?p ??n"
method (n)	/?me?.?d/	"ph??ng th?c, cách th?c"
middle (n)	/?m?d.?l/	ch? gi?a
milk (n)	/m?lk/	s?a
million (n)	/?m?l.j?n/	hàng tri?u
mind (n)	/ma?nd/	tâm trí
minute (n)	/?m?n.?t/	phút
miss (v)	/m?s/	"b? l?, nh?"
mistake (n)	/m??ste?k/	"sai sót, sai l?m"
mix (v)	/m?ks/	"tr?n l?n, tr?n ??u"
model (n)	/?m??.d?l/	"ki?u, m?u, mô hình"
modern (adj)	/?m??.d?n/	"hi?n ??i, tân ti?n"
moment (n)	/?mo?.m?nt/	"kho?nh kh?c, th?i ?i?m"
money (n)	/?m?n.i/	ti?n b?c
monkey (n)	/?m??.ki/	con kh?
month (n)	/m?n?/	tháng
moon (n)	/mu?n/	m?t tr?ng
more (det)	/m??r/	"thêm n?a, h?n n?a"
morning (n)	/?m??r.n??/	bu?i sáng
most (det)	/mo?st/	nhi?u nh?t
mother (n)	/?m?ð.?/	"m?, má"
mountain (n)	/?ma?n.t?n/	ng?n núi
mouth (n)	/ma??/	cái mi?ng
move (v)	/mu?v/	"di chuy?n, chuy?n ??ng"
much (adj)	/m?t?/	"nhi?u, l?m"
